stock_id,food_item,brand,category,location,quantity,unit,servings_remaining,initial_quantity,initial_servings,stock_status,expiry_date,date_added,notes
inv_001,Chicken Breast,Brand A,Meat,Fridge,500.0,g,3.33,500.0,3.33,in_stock,2024-12-01,2024-06-01,
inv_002,Milk,Brand B,Dairy,Fridge,2000.0,ml,4.0,2000.0,4.0,in_stock,2024-06-15,2024-06-01,
inv_003,Bread,Brand C,Bakery,Pantry,1.0,loaf,1.0,1.0,1.0,in_stock,2024-06-10,2024-06-01,
inv_004,Apples,Brand D,Fruit,Pantry,6.0,pieces,6.0,6.0,6.0,in_stock,2024-06-20,2024-06-01,
inv_005,Carrots,Brand E,Vegetables,Fridge,500.0,g,5.0,500.0,5.0,in_stock,2024-06-30,2024-06-01,
inv_006,Cheese,Brand F,Dairy,Fridge,250.0,g,2.5,250.0,2.5,in_stock,2024-07-01,2024-06-01,
inv_007,Eggs,Brand G,Dairy,Fridge,12.0,pieces,12.0,12.0,12.0,in_stock,2024-07-10,2024-06-01,
inv_008,Orange Juice,Brand H,Beverages,Fridge,1500.0,ml,3.0,1500.0,3.0,in_stock,2024-07-15,2024-06-01,
inv_009,Rice,Brand I,Grains,Pantry,1.0,kg,1.0,1.0,1.0,in_stock,2024-08-01,2024-06-01,
inv_010,Pasta,Brand J,Grains,Pantry,500.0,g,1.0,500.0,1.0,in_stock,2024-08-10,2024-06-01,
inv_011,Tomato Sauce,Brand K,Condiments,Pantry,300.0,g,1.5,300.0,1.5,in_stock,2024-08-15,2024-06-01,
inv_012,Butter,Brand L,Dairy,Fridge,200.0,g,2.0,200.0,2.0,in_stock,2024-08-20,2024-06-01,
inv_013,Lobster,,,,2.0,,0.0,2.0,0.0,ok,,2026-05-17,Caught lobster
